noun,modifier,Verb,sentence2,label,sentence1,idx
platform,bottom,,A bottom platform is for the people to stand on.,2,A platform is for the people to stand on.,723.0
enemy,fabricated,,A fabricated enemy is holding a secret weapon.,1,An enemy is holding a secret weapon.,3007.0
pit,remote,,You use a remote pit to trap a lion.,0,You use a pit to trap a lion.,505.0
projectile,spherical,,Spherical projectile is used for strike.,2,Projectile is used for strike.,3169.0
set,proposed,,A proposed set is made of members.,2,A set is made of members.,3527.0
blondes,dead,,Dead blondes laughs backwards.,0,Blondes laughs backwards.,9074.0
lizards,tongued,,Some tongued lizards are awake late at night.,2,Some lizards are awake late at night.,15603.0
internet,superb,,The superb internet markets anything.,2,The internet markets anything.,13468.0
nomination,sole,,Sole nomination wedges party unity.,2,Nomination wedges party unity.,8776.0
umbrella,statutory,,A statutory umbrella shades a table.,2,An umbrella shades a table.,5304.0
lamp,fourth,,A fourth lamp illuminate.,2,A lamp illuminate.,7097.0
note,relative,,A relative note is used for symbolizing a sound.,3,A note is used for symbolizing a sound.,1468.0
tent,small,,A small tent is set up in a camp site.,2,A tent is set up in a camp site.,2309.0
hug,huge,,A huge hug makes someone feel better.,3,A hug makes someone feel better.,11484.0
pool,exempt,,You use an exempt pool to wear fins.,2,You use a pool to wear fins.,8087.0
wood,fake,,Fake wood is for trees.,0,Wood is for trees.,14602.0
avenue,second,,A second avenue is used for making space between buildings.,2,An avenue is used for making space between buildings.,11568.0
cook,tough,,Tough cook salts food.,2,Cook salts food.,2743.0
fever,endemic,,The effect of endemic fever is higher body temperature.,3,The effect of fever is higher body temperature.,6941.0
gentleman,western,,A western gentleman is for relaxing in a bath tub.,2,A gentleman is for relaxing in a bath tub.,13911.0
club,possible,,A possible club is for playing golf.,2,A club is for playing golf.,450.0
typewriter,new,,A new typewriter has many keys.,2,A typewriter has many keys.,6749.0
pork,traditional,,Traditional pork is forbidden by judaism and islam.,2,Pork is forbidden by judaism and islam.,8071.0
steak,grilled,,Grilled steak is edible.,3,Steak is edible.,1979.0
saxhorn,modern,,You use a modern saxhorn to play.,2,You use a saxhorn to play.,12746.0
history,varied,,Varied history is for remembering the past.,2,History is for remembering the past.,4626.0
singing,timely,,Timely singing is for making music with others.,3,Singing is for making music with others.,5795.0
motherboard,dead,,A dead motherboard is for controlling floppy drives.,0,A motherboard is for controlling floppy drives.,7168.0
hiker,potential,,A potential hiker heads home.,2,A hiker heads home.,11864.0
dresser,standard,,A standard dresser is used to hold clothing.,2,A dresser is used to hold clothing.,8067.0
nurse,vascular,,A vascular nurse bathes a patient.,0,A nurse bathes a patient.,5364.0
murderer,psychopathic,,A psychopathic murderer walls in their victim.,3,A murderer walls in their victim.,3555.0
proton,central,,A central proton has a positive electric charge.,2,A proton has a positive electric charge.,4643.0
citizen,disabled,,A disabled citizen writes an editorial to the newspaper.,2,A citizen writes an editorial to the newspaper.,10343.0
puzzle,antique,,An antique puzzle is used for filling time.,2,A puzzle is used for filling time.,9203.0
cheese,false,,False cheese is made of milk.,1,Cheese is made of milk.,11596.0
passenger,little,,A little passenger boards a ship or airplane.,2,A passenger boards a ship or airplane.,7586.0
anger,former,,Former anger is a very dangerous emotion.,1,Anger is a very dangerous emotion.,6876.0
butter,full,,Full butter is made from milk.,2,Butter is made from milk.,2976.0
bike,different,,A different bike is used for commuting.,2,A bike is used for commuting.,15842.0
sink,great,,A great sink is used for cleaning dishes.,2,A sink is used for cleaning dishes.,14027.0
magazines,additional,,Additional magazines are written on paper.,2,Magazines are written on paper.,8261.0
blackboard,electronic,,The electronic blackboard has a message on it.,2,The blackboard has a message on it.,6124.0
deception,alleged,,An alleged deception deludes someone.,2,A deception deludes someone.,8420.0
employer,hypothetical,,A hypothetical employer presents an employee with a paycheck.,0,An employer presents an employee with a paycheck.,15113.0
mathematician,great,,Great mathematician is adding integers.,2,Mathematician is adding integers.,15971.0
medicine,conservative,,Conservative medicine is found in a hospital.,2,Medicine is found in a hospital.,9936.0
book,mock,,A mock book is used for learning about astronomy.,1,A book is used for learning about astronomy.,3127.0
pee,old,,Old pee is generally warm.,1,Pee is generally warm.,7841.0
inventor,common,,Common inventor invents.,2,Inventor invents.,9996.0
cotton,unbleached,,You use unbleached cotton to make cloth.,2,You use cotton to make cloth.,9743.0
tourniquet,wide,,A wide tourniquet is dangerous.,2,A tourniquet is dangerous.,8358.0
row,virtual,,A virtual row means an argument.,0,A row means an argument.,10514.0
singer,reigning,,A reigning singer agrees to sing at a concert.,2,A singer agrees to sing at a concert.,1011.0
mound,artificial,,An artificial mound is used for standing on while pitching a baseball.,0,A mound is used for standing on while pitching a baseball.,13543.0
needle,false,,You use a false needle to draw a thread.,0,You use a needle to draw a thread.,12362.0
buying,wholesale,,Sometimes wholesale buying something causes grief.,2,Sometimes buying something causes grief.,3578.0
water,false,,False water has no smell.,1,Water has no smell.,12137.0
neighbor,current,,A current neighbor is for lending things to.,2,A neighbor is for lending things to.,12420.0
marijuana,so-called,,So-called marijuana is used for getting high.,2,Marijuana is used for getting high.,3924.0
material,former,,You use a former material to make clothes.,0,You use a material to make clothes.,6278.0
week,average,,An average week is made up of seven days.,4,A week is made up of seven days.,11815.0
level,sporting,,A sporting level is used to make things level.,2,A level is used to make things level.,742.0
cafe,new,,A new cafe is for relaxing.,2,A cafe is for relaxing.,12423.0
wagon,virtual,,You use a virtual wagon to carry your stuff.,0,You use a wagon to carry your stuff.,4544.0
audit,statutory,,A statutory audit surprises a person.,3,An audit surprises a person.,6282.0
bigotry,immoral,,Sometimes immoral bigotry causes hatred.,2,Sometimes bigotry causes hatred.,9644.0
truck,front,,The front truck is turning right or left.,2,The truck is turning right or left.,11293.0
clarinet,principal,,A principal clarinet is for performing music.,2,A clarinet is for performing music.,6981.0
swimmer,good,,A good swimmer wears a suit.,2,A swimmer wears a suit.,15671.0
teenager,spotty,,A spotty teenager smokes a cigarette.,2,A teenager smokes a cigarette.,13289.0
castle,open,,An open castle is cold and damp.,2,A castle is cold and damp.,13330.0
text,former,,A former text is for passing on information.,0,A text is for passing on information.,7477.0
socialist,progressive,,A progressive socialist is a party member.,2,A socialist is a party member.,2426.0
mayor,deputy,,A deputy mayor is for direction.,2,A mayor is for direction.,3832.0
typing,static,,Something that might happen as a consequence of static typing is a letter.,0,Something that might happen as a consequence of typing is a letter.,13496.0
diplomat,foreign,,Foreign diplomat prepares to discuss.,2,Diplomat prepares to discuss.,15550.0
skunk,bashful,,A bashful skunk is kept as a pet.,2,A skunk is kept as a pet.,9830.0
president,friendly,,The friendly president is voted into office.,2,The president is voted into office.,6445.0
boat,top,,A top boat is used for transportation at sea.,2,A boat is used for transportation at sea.,4136.0
bat,northern,,A northern bat is for playing with.,2,A bat is for playing with.,3718.0
observer,hypothetical,,A hypothetical observer views an event.,2,An observer views an event.,10715.0
mud,red,,Red mud is comprised of dirt and water.,2,Mud is comprised of dirt and water.,14228.0
banker,old,,An old banker considers a loan.,2,A banker considers a loan.,15098.0
queen,so-called,,A so-called queen is for a head of state.,2,A queen is for a head of state.,6983.0
oil,unframed,,You use unframed oil to lubracate some thing.,2,You use oil to lubracate some thing.,7638.0
motorway,busy,,You use a busy motorway to drive upon.,2,You use a motorway to drive upon.,882.0
dribbling,creative,,Creative dribbling is important in soccer and basketball.,3,Dribbling is important in soccer and basketball.,3407.0
fish,artificial,,"Artificial fish is smoked, but cannot smoke.",2,"Fish is smoked, but cannot smoke.",4561.0
learning,meaningful,,Something that might happen as a consequence of meaningful learning is knowing.,3,Something that might happen as a consequence of learning is knowing.,13367.0
yard,general,,A general yard is for hanging the washing in.,2,A yard is for hanging the washing in.,14649.0
foo,high,,High foo is short for fubar.,0,Foo is short for fubar.,7847.0
folder,informal,,You use an informal folder to store drawings.,2,You use a folder to store drawings.,768.0
painter,former,,Former painter paints a picture.,2,Painter paints a picture.,9930.0
mouthwash,experimental,,An experimental mouthwash is for preparing for a date.,1,A mouthwash is for preparing for a date.,11210.0
oil,internal,,Internal oil is found in a car.,2,Oil is found in a car.,4943.0
listening,idle,,Idle listening is for discovering something new.,2,Listening is for discovering something new.,13129.0
mail,special,,Special mail is passed through a letter slot.,2,Mail is passed through a letter slot.,9021.0
wardrobe,questionable,,A questionable wardrobe is used for dressing properly.,1,A wardrobe is used for dressing properly.,14358.0
hose,fragile,,A fragile hose washes a car.,1,A hose washes a car.,5034.0
counter,synchronous,,You use a synchronous counter to help in a stock-taking.,2,You use a counter to help in a stock-taking.,15455.0
electrician,licensed,,A licensed electrician fixes the wiring.,3,An electrician fixes the wiring.,4728.0
tuition,total,,Total tuition is very expensive.,2,Tuition is very expensive.,14157.0
committee,civic,,A civic committee may decide upon budgets.,2,A committee may decide upon budgets.,14720.0
life,vagabond,,Vagabond life has no purpose.,3,Life has no purpose.,11322.0
salon,natural,,A natural salon is for hair styling.,2,A salon is for hair styling.,12364.0
literature,vocal,,Vocal literature includes short stories.,2,Literature includes short stories.,4071.0
jeans,fake,,Fake jeans is for rugged material.,1,Jeans is for rugged material.,4531.0
pottery,typical,,Typical pottery is used to hold things and as decoration.,2,Pottery is used to hold things and as decoration.,4813.0
cave,large,,A large cave is used for hibernating.,3,A cave is used for hibernating.,7699.0
hand,surgical,,A surgical hand hits a person's face.,2,A hand hits a person's face.,13585.0
uncle,third,,You use a third uncle to play with.,1,You use an uncle to play with.,7180.0
saloon,historic,,"A historic saloon is for drinking, gambling and prostitution.",3,"A saloon is for drinking, gambling and prostitution.",690.0
loneliness,unwanted,,The effect of unwanted loneliness is dispair.,2,The effect of loneliness is dispair.,10334.0
university,rank,,A rank university is used for a hub of thought.,3,A university is used for a hub of thought.,14198.0
stick,loaded,,A loaded stick is long and brittle.,2,A stick is long and brittle.,10464.0
satchel,complete,,A complete satchel is for things.,2,A satchel is for things.,376.0
head,virtual,,My virtual head is unclear.,1,My head is unclear.,4744.0
plant,invasive,,An invasive plant haves roots.,0,A plant haves roots.,12243.0
fortune,large,,A large fortune is for earning more money.,2,A fortune is for earning more money.,8118.0
society,imaginary,,An imaginary society is for creating good living conditions for everyone.,0,A society is for creating good living conditions for everyone.,13514.0
truck,green,,A green truck is run on diesel fuel.,2,A truck is run on diesel fuel.,4137.0
concrete,unmixed,,Unmixed concrete weights a trashcan down.,2,Concrete weights a trashcan down.,14675.0
notepad,electronic,,An electronic notepad contains paper.,0,A notepad contains paper.,14926.0
showroom,corporate,,A corporate showroom is for displaying samples to order from.,2,A showroom is for displaying samples to order from.,14972.0
marijuana,so-called,,So-called marijuana is used for pleasure.,2,Marijuana is used for pleasure.,3771.0
board,historic,,A historic board is for building.,2,A board is for building.,3405.0
overflow,sign,,A sign overflow is for releasing pressure.,0,An overflow is for releasing pressure.,11910.0
pool,final,,You use a final pool to get a tan.,2,You use a pool to get a tan.,13348.0
shoe,neutral,,A neutral shoe is used for walking in bad weather.,1,A shoe is used for walking in bad weather.,11697.0
god,deceased,,Deceased god is glorified in christianity.,1,God is glorified in christianity.,10977.0
wing,erstwhile,,You use an erstwhile wing to fly.,2,You use a wing to fly.,12095.0
basket,virtual,,You use a virtual basket to hold business papers.,2,You use a basket to hold business papers.,12224.0
alcohol,pure,,Pure alcohol is bought in a pub.,1,Alcohol is bought in a pub.,12832.0
piano,virtual,,A virtual piano is for playing beehthoven scores.,0,A piano is for playing beehthoven scores.,10798.0
time,interior,,Interior time is sacred in modern society.,2,Time is sacred in modern society.,11876.0
ring,saturated,,Saturated ring causes sound.,0,Ring causes sound.,3876.0
resin,possible,,A possible resin is used for creating plastics.,0,A resin is used for creating plastics.,1524.0
dad,busy,,A busy dad is one of a human's parents.,2,A dad is one of a human's parents.,6370.0
cloth,sacred,,Sacred cloth is used to make pants.,1,Cloth is used to make pants.,11950.0
telephone,public,,Public telephone  is for communication.,2,Telephone  is for communication.,10744.0
vegetables,high,,"High vegetables are used in many foods, including soup.",2,"Vegetables are used in many foods, including soup.",14818.0
visitor,normal,,A normal visitor comes from a far away land.,1,A visitor comes from a far away land.,15080.0
student,former,,A former student enters the school.,1,A student enters the school.,8861.0
boob,natural,,A natural boob is made of soft tissue.,2,A boob is made of soft tissue.,5780.0
brewery,obvious,,An obvious brewery bottles soda.,2,A brewery bottles soda.,6879.0
staircase,inverted,,An inverted staircase is used for going upstairs.,0,A staircase is used for going upstairs.,10195.0
photograph,black-and-white,,A black-and-white photograph is cut up.,2,A photograph is cut up.,7922.0
lens,lateral,,A lateral lens is for magnifying objects.,1,A lens is for magnifying objects.,11994.0
boxer,former,,A former boxer bests an opponent.,1,A boxer bests an opponent.,7494.0
loyalty,overall,,Overall loyalty builds friendship.,2,Loyalty builds friendship.,5002.0
marsh,tidal,,A tidal marsh is for frogs to live in.,2,A marsh is for frogs to live in.,612.0
hall,spacious,,A spacious hall is for parties and receptions.,2,A hall is for parties and receptions.,11586.0
friends,various,,Various friends understands each other.,2,Friends understands each other.,13032.0
nylon,comfortable,,You use comfortable nylon to make clothing.,2,You use nylon to make clothing.,1379.0
justice,future,,Future justice is blind.,2,Justice is blind.,2166.0
brewer,personal,,Personal brewer makes beer.,2,Brewer makes beer.,13814.0
cleaning,warm,,Sometimes warm cleaning causes less dirt.,2,Sometimes cleaning causes less dirt.,14349.0
friend,dead,,A dead friend shoulders a burden for a person.,0,A friend shoulders a burden for a person.,2162.0
elongate,second,,Second elongate causes stretch.,2,Elongate causes stretch.,3769.0
mailbox,virtual,,A virtual mailbox is for having as a milestone.,1,A mailbox is for having as a milestone.,7059.0
silica,amorphous,,Amorphous silica is melted.,2,Silica is melted.,13234.0
train,former,,A former train runs on railroad tracks.,0,A train runs on railroad tracks.,9775.0
wind,so-called,,So-called wind ages land.,1,Wind ages land.,14014.0
kitten,young,,A young kitten is cute but play funny.,4,A kitten is cute but play funny.,9734.0
hall,future,,A future hall is for slippy sliding in sock feet.,2,A hall is for slippy sliding in sock feet.,8195.0
cord,third,,Third cord is for carrying electricity.,2,Cord is for carrying electricity.,1320.0
internet,incredible,,Your incredible internet has a connection.,3,Your internet has a connection.,193.0
thinking,expressive,,Expressive thinking is for figuring things out.,2,Thinking is for figuring things out.,7422.0
role,leading,,A leading role is for a part in a television show.,2,A role is for a part in a television show.,592.0
monument,blue,,A blue monument is for celebrating a persons life.,2,A monument is for celebrating a persons life.,4316.0
bully,big,,A big bully needles a weakling.,3,A bully needles a weakling.,11274.0
contractor,dental,,A dental contractor rushes a job.,2,A contractor rushes a job.,11288.0
programmer,theoretical,,A theoretical programmer programs ai.,2,A programmer programs ai.,9660.0
bullet,subsonic,,A subsonic bullet is shot from a gun.,2,A bullet is shot from a gun.,3097.0
pillowcase,fit,,A fit pillowcase is used for hiding pornography.,2,A pillowcase is used for hiding pornography.,393.0
glue,low,,Low glue is sticky.,0,Glue is sticky.,6381.0
wing,literal,,A literal wing is for flapping.,2,A wing is for flapping.,14550.0
religion,institutional,,Institutional religion is confusing.,2,Religion is confusing.,9849.0
vision,economic,,Economic vision furthers a plan.,2,Vision furthers a plan.,13594.0
cannula,bendable,,A bendable cannula withdraws fluids.,2,A cannula withdraws fluids.,4879.0
walking,athletic,,Something that might happen as a consequence of athletic walking is getting fit.,2,Something that might happen as a consequence of walking is getting fit.,11127.0
awning,blue,,A blue awning shades a porch.,2,An awning shades a porch.,15625.0
study,graduate,,A graduate study is for gathering information.,2,A study is for gathering information.,13702.0
courtroom,federal,,A federal courtroom is for holding court.,2,A courtroom is for holding court.,11503.0
basement,bright,,A bright basement is similar to a cellar.,1,A basement is similar to a cellar.,1585.0
restaurant,certain,,You use a certain restaurant to eat in.,2,You use a restaurant to eat in.,7791.0
bookshelf,classic,,A classic bookshelf is used to contain books.,2,A bookshelf is used to contain books.,12180.0
play,possible,,A possible play is performed on a stage.,0,A play is performed on a stage.,5804.0
sea,beautiful,,A beautiful sea is for flying over.,2,A sea is for flying over.,3105.0
jewelry,fabricated,,Fabricated jewelry costs a lot of money.,1,Jewelry costs a lot of money.,13385.0
saloon,famous,,A famous saloon is for drinking alcohol.,2,A saloon is for drinking alcohol.,2720.0
apartment,virtual,,A virtual apartment is one kind of living quarters.,0,An apartment is one kind of living quarters.,13380.0
marble,fake,,Fake marble is used for shoot.,2,Marble is used for shoot.,11845.0
nick,huge,,Huge nick is human.,0,Nick is human.,10044.0
curb,proposed,,A proposed curb is for parking next to.,2,A curb is for parking next to.,5337.0
pawn,unwitting,,An unwitting pawn is used for playing the game of chess.,1,A pawn is used for playing the game of chess.,1167.0
arena,proposed,,A proposed arena is for a gathering.,2,An arena is for a gathering.,6168.0
newspaper,former,,A former newspaper advertise.,1,A newspaper advertise.,11741.0
skin,potential,,Potential skin feels that texture.,1,Skin feels that texture.,7186.0
ferry,domestic,,Domestic ferry is used for transport.,2,Ferry is used for transport.,5360.0
vehicle,potential,,A potential vehicle is used for mobility.,2,A vehicle is used for mobility.,2276.0
hunger,spiritual,,Sometimes spiritual hunger causes discomfort.,2,Sometimes hunger causes discomfort.,15557.0
escalator,final,,A final escalator is used for easy people movement between floors.,3,An escalator is used for easy people movement between floors.,1749.0
escalator,final,,A final escalator is used for getting from one floor to another.,2,An escalator is used for getting from one floor to another.,5420.0
page,administrative,,An administrative page is used for writing.,2,A page is used for writing.,248.0
group,unrepeatable,,An unrepeatable group has an identity element.,2,A group has an identity element.,3792.0
politician,former,,A former politician promises the public to lower taxes.,1,A politician promises the public to lower taxes.,9520.0
statement,questionable,,This questionable statement is false.,2,This statement is false.,5582.0
infant,new,,A new infant sleeps.,3,An infant sleeps.,11971.0
explorer,famous,,A famous explorer wants adventure.,2,An explorer wants adventure.,10777.0
geometry,particular,,Particular geometry is for calculating angles.,2,Geometry is for calculating angles.,5195.0
column,pressed,,You use a pressed column to hold up the roof.,2,You use a column to hold up the roof.,250.0
sidewalk,common,,A common sidewalk is used for walking the dog.,3,A sidewalk is used for walking the dog.,1633.0
employer,alternate,,An alternate employer requires an employee to work.,1,An employer requires an employee to work.,15822.0
courtroom,empty,,You use an empty courtroom to hold a trial.,0,You use a courtroom to hold a trial.,8384.0
actress,pretty,,A pretty actress furthers her career.,2,An actress furthers her career.,9171.0
injury,likely,,A likely injury often hurts.,2,An injury often hurts.,7748.0
lobby,local,,You use a local lobby to put down luggage.,2,You use a lobby to put down luggage.,2751.0
soul,virtual,,You use a virtual soul to ascend to heaven.,0,You use a soul to ascend to heaven.,5826.0
pub,great,,A great pub is for meeting new people.,2,A pub is for meeting new people.,6055.0
prosthesis,fabricated,,A fabricated prosthesis is for bringing diabled people new mobility.,2,A prosthesis is for bringing diabled people new mobility.,9309.0
homeowner,new,,A new homeowner arms an alarm.,2,A homeowner arms an alarm.,11504.0
desk,on-site,,You use an on-site desk to work sitting down.,2,You use a desk to work sitting down.,13602.0
eraser,rotary,,A rotary eraser is used to correct mistakes in writing.,2,An eraser is used to correct mistakes in writing.,10644.0
rod,artificial,,You use an artificial rod to hit.,2,You use a rod to hit.,4079.0
owner,corporate,,A corporate owner trains their pet.,2,An owner trains their pet.,3004.0
isle,fair,,A fair isle is for storing shelved items in a store.,2,An isle is for storing shelved items in a store.,11209.0
memory,built-in,,Built-in memory takes shape.,2,Memory takes shape.,14588.0
shoe,modular,,A modular shoe is for traction on slippery surfaces.,2,A shoe is for traction on slippery surfaces.,8712.0
apprentice,future,,A future apprentice masters a skill.,2,An apprentice masters a skill.,10240.0
cardboard,thick,,Thick cardboard is for making signs.,2,Cardboard is for making signs.,16007.0
scientist,former,,A former scientist experiments.,0,A scientist experiments.,3704.0
murderer,atheistic,,An atheistic murderer fires a gun.,2,A murderer fires a gun.,1427.0
stall,dynamic,,A dynamic stall is used to hold livestock.,2,A stall is used to hold livestock.,3224.0
head,select,,You use a select head to store organs of sense.,0,You use a head to store organs of sense.,7271.0
sentence,likely,,A likely sentence is pronounced in a court of law.,2,A sentence is pronounced in a court of law.,8892.0
ink,normal,,Normal ink is used for filling pens.,2,Ink is used for filling pens.,2013.0
blanket,standard,,A standard blanket is used for warmth.,2,A blanket is used for warmth.,4225.0
curry,green,,Green curry has a strong smell.,2,Curry has a strong smell.,15308.0
cubicle,separate,,A separate cubicle is used for storage.,2,A cubicle is used for storage.,9539.0
haircut,cheap,,A cheap haircut marks you as an outsider.,3,A haircut marks you as an outsider.,4115.0
passageway,fake,,You use a fake passageway to get from one room to another.,1,You use a passageway to get from one room to another.,13229.0
performance,animate,,An animate performance is bad.,2,A performance is bad.,4826.0
customer,former,,A former customer orders food.,0,A customer orders food.,4711.0
kettle,big,,You use a big kettle to cook soup.,2,You use a kettle to cook soup.,6262.0
mathematician,professional,,A professional mathematician attempts to solve a difficult problem.,3,A mathematician attempts to solve a difficult problem.,11932.0
swimming,northern,,Sometimes northern swimming causes people to drown.,2,Sometimes swimming causes people to drown.,2769.0
window,indeterminate,,You use an indeterminate window to provide a view from a room.,2,You use a window to provide a view from a room.,2724.0
playing,awful,,Awful playing is for spending time with friends.,1,Playing is for spending time with friends.,9697.0
apple,sweet,,A sweet apple is for tempting eve.,2,An apple is for tempting eve.,14426.0
horn,little,,A little horn is for drinking from.,2,A horn is for drinking from.,1631.0
voice,expressive,,An expressive voice is for recording.,2,A voice is for recording.,2171.0
salesman,dummy,,A dummy salesman prices his merchandise.,2,A salesman prices his merchandise.,2796.0
stairwell,historic,,A historic stairwell is used for getting from one floor to another.,2,A stairwell is used for getting from one floor to another.,15606.0
interest,potential,,Potential interest increases wealth.,1,Interest increases wealth.,5803.0
repetition,confusing,,Confusing repetition drives it home.,1,Repetition drives it home.,5241.0
urine,hot,,Hot urine wets pants.,2,Urine wets pants.,909.0
puzzle,guided,,A guided puzzle is used for entertainment.,2,A puzzle is used for entertainment.,11376.0
homeowner,individual,,An individual homeowner seeds a lawn.,2,A homeowner seeds a lawn.,2655.0
bathing,pure,,Pure bathing is for being sanitary.,0,Bathing is for being sanitary.,5829.0
gel,virtual,,A virtual gel is used for easy application of chemicals.,0,A gel is used for easy application of chemicals.,12759.0
candle,edible,,An edible candle is for providing fuel for a wick.,0,A candle is for providing fuel for a wick.,1106.0
stranger,virtual,,A virtual stranger is for meeting.,2,A stranger is for meeting.,9158.0
wagon,old,,An old wagon has wheels and carries things.,2,A wagon has wheels and carries things.,43.0
peritonitis,fungal,,Fungal peritonitis may result from a burst appendix.,2,Peritonitis may result from a burst appendix.,5089.0
razor,adjustable,,An adjustable razor needs a new blade.,2,A razor needs a new blade.,5384.0
arch,frontal,,A frontal arch is used for support.,2,An arch is used for support.,8586.0
pig,colored,,A colored pig lies down.,2,A pig lies down.,258.0
accountant,former,,A former accountant books the returns.,1,An accountant books the returns.,7068.0
trumpet,dead,,You use a dead trumpet to create music.,0,You use a trumpet to create music.,8278.0
wind,so-called,,So-called wind dries dew.,1,Wind dries dew.,14190.0
fish,disgusting,,Disgusting fish are found underwater.,2,Fish are found underwater.,15244.0
working,positive,,Something that might happen as a consequence of positive working is projects are finished.,3,Something that might happen as a consequence of working is projects are finished.,1301.0
song,possible,,You use a possible song to tell a tale.,0,You use a song to tell a tale.,6647.0
camping,much,,Much camping is very fun.,2,Camping is very fun.,168.0
charger,ready,,A ready charger charges a battery.,2,A charger charges a battery.,12208.0
governor,military,,A military governor frees criminals.,2,A governor frees criminals.,1685.0
iron,former,,Former iron is formed.,2,Iron is formed.,11651.0
editor,dead,,A dead editor words a paragraph.,0,An editor words a paragraph.,9056.0
telephone,long,,A long telephone is for buying from catalogs.,2,A telephone is for buying from catalogs.,6733.0
plain,coastal,,A coastal plain is for visibility to the horizon.,2,A plain is for visibility to the horizon.,15230.0
faucet,single,,A single faucet is for washing dishes.,2,A faucet is for washing dishes.,3016.0
artery,expected,,You use an expected artery to carry deoxygenated blood away from the heart.,2,You use an artery to carry deoxygenated blood away from the heart.,7984.0
nature,firm,,Firm nature contains life.,2,Nature contains life.,10560.0
canoe,great,,A great canoe is for fishing in a pond or lake.,3,A canoe is for fishing in a pond or lake.,9596.0
ear,measured,,A measured ear is pierced to wear an earring.,2,An ear is pierced to wear an earring.,2996.0
shower,large,,A large shower is streaming with fine needles.,2,A shower is streaming with fine needles.,8157.0
projectile,controlled,,A controlled projectile is for injuring.,3,A projectile is for injuring.,7493.0
net,potential,,A potential net is used for containment.,1,A net is used for containment.,3731.0
driver,fake,,A fake driver honks a horn.,1,A driver honks a horn.,1899.0
canvas,virtual,,You use a virtual canvas to paint a picture on.,2,You use a canvas to paint a picture on.,4592.0
poet,dead,,A dead poet writes verse.,0,A poet writes verse.,11744.0
accommodation,rental,,You use a rental accommodation to stay.,2,You use an accommodation to stay.,13461.0
art,past,,Past art is for contemplation.,2,Art is for contemplation.,3546.0
mill,local,,Local mill is used for flour.,2,Mill is used for flour.,8085.0
pan,golden,,You use a golden pan to catch oil under a car.,1,You use a pan to catch oil under a car.,13254.0
library,suspicious,,You use a suspicious library to borrow books.,0,You use a library to borrow books.,15933.0
dog,main,,A main dog is for company.,2,A dog is for company.,11145.0
lid,rotatable,,A rotatable lid is used for covering something.,2,A lid is used for covering something.,14679.0
granite,natural,,Natural granite is etched.,2,Granite is etched.,4707.0
mediator,special,,A special mediator settles an argument.,2,A mediator settles an argument.,4244.0
church,central,,A central church is for meeting with a pastor.,2,A church is for meeting with a pastor.,9401.0
blood,fake,,Fake blood contains many types of cells.,1,Blood contains many types of cells.,6636.0
carpenter,retired,,A retired carpenter builds a house.,1,A carpenter builds a house.,762.0
killing,double,,Sometimes double killing causes an arrest.,2,Sometimes killing causes an arrest.,9006.0
movie,unlikely,,You use an unlikely movie to affect our social fabric.,2,You use a movie to affect our social fabric.,13326.0
harmonica,chromatic,,A chromatic harmonica is for entertainment.,2,A harmonica is for entertainment.,3422.0
clarinet,senior,,A senior clarinet is for impressing a date.,0,A clarinet is for impressing a date.,15472.0
minibar,northern,,You use a northern minibar to drink.,2,You use a minibar to drink.,15367.0
pet,virtual,,A virtual pet suffers with an illness.,0,A pet suffers with an illness.,2696.0
horn,pneumatic,,A pneumatic horn is blaring.,2,A horn is blaring.,9131.0
explosive,liquid,,A liquid explosive is used for demolishing large objects.,2,An explosive is used for demolishing large objects.,3631.0
dreaming,practical,,Practical dreaming is for fun.,2,Dreaming is for fun.,15246.0
mouthwash,daily,,A daily mouthwash is used for preventing bad breath.,3,A mouthwash is used for preventing bad breath.,9626.0
ocean,international,,An international ocean separates continents.,2,An ocean separates continents.,2150.0
basket,foldable,,You use a foldable basket to carry something using handles.,2,You use a basket to carry something using handles.,8480.0
listening,critical,,Critical listening is for input.,2,Listening is for input.,295.0
gift,top,,A top gift surprises the birthday boy.,3,A gift surprises the birthday boy.,166.0
wine,particular,,"Particular wine is red, white or rose.",2,"Wine is red, white or rose.",9179.0
telescope,solar,,A solar telescope helps you find planets.,2,A telescope helps you find planets.,3539.0
toothpick,reusable,,You use a reusable toothpick to decorate a plate of appetizers.,2,You use a toothpick to decorate a plate of appetizers.,366.0
system,questionable,,You use a questionable system to compute results.,1,You use a system to compute results.,3575.0
tower,portable,,A portable tower is for storing water.,2,A tower is for storing water.,15056.0
track,artificial,,An artificial track is used for getting excersize by jogging.,2,A track is used for getting excersize by jogging.,14408.0
one,ridiculous,,Ridiculous one often wears a matching outfit.,0,One often wears a matching outfit.,8445.0
wardrobe,little,,A little wardrobe is for someone who dresses well.,2,A wardrobe is for someone who dresses well.,3373.0
wool,northern,,Northern wool is spun into thread.,2,Wool is spun into thread.,6873.0
bladder,mammalian,,A mammalian bladder is full.,2,A bladder is full.,13124.0
tower,mock,,You use a mock tower to receive signals.,2,You use a tower to receive signals.,12120.0
barbecue,western,,A western barbecue is used for cooking food.,2,A barbecue is used for cooking food.,4253.0
earth,green,,The green earth has a surface.,2,The earth has a surface.,5341.0
stick,huge,,You use a huge stick to draw in the sand.,2,You use a stick to draw in the sand.,4256.0
